phraseForm, definition, noun1, noun2, noun3, verb1, verb2, verb3, numModifiers, modifier1,modifier2
se-lú-lí lúulómó tá,It's not a language,16,,,,,,2,Presentative,Negative
lúlomo lweéɲwé,your (pl) language,16,,,,,,1,Possessive,
xaβwa síina,which dog (dim.)?,13,,,,,,1,Interrogative,
kúuβwa kweéfwé,our dog (aug.),12,,,,,,1,Possessive,
βúβ-uuxi βu-lala,some honey,15,,,,,,1,One,
ndáxina,I will dance,,,,19,,,0,,
xáxine,I will dance,,,,19,,,0,,
waáxáxina,you just danced,,,,19,,,0,,
βáxina,they danced,,,,19,,,0,,
olalima,you will dig,,,,18,,,0,,
axalime,s/he will dig,,,,18,,,0,,
ndíxóo ndíma,I am digging,,,,18,,,1,Present Progressive,
